Processing,Waiting,Average response time
1,0,4.774194
0,0,4.774194
0,0,4.774194
1,0,4.774194
1,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
0,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
1,0,4.687500
2,0,4.687500
2,0,4.687500
2,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,4.969697
1,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
0,0,5.235294
1,0,5.235294
1,0,5.235294
1,0,5.171429
0,0,5.171429
1,0,5.171429
1,0,5.171429
1,0,5.171429
1,0,5.171429
1,0,5.171429
2,0,5.171429
2,0,5.171429
2,0,5.111111
1,0,5.111111
1,0,5.111111
1,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
0,0,5.270270
1,0,5.270270
1,0,5.270270
1,0,5.270270
1,0,5.270270
1,0,5.270270
1,0,5.270270
1,0,5.270270
1,0,5.270270
1,0,5.368421
0,0,5.368421
0,0,5.368421
0,0,5.368421
0,0,5.368421
0,0,5.368421
0,0,5.368421
0,0,5.368421
0,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
1,0,5.368421
2,0,5.400000
0,0,5.400000
0,0,5.400000
0,0,5.400000
0,0,5.400000
0,0,5.400000
0,0,5.400000
0,0,5.400000
0,0,5.400000
0,0,5.400000
1,0,5.400000
1,0,5.400000
1,0,5.400000
1,0,5.400000
1,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
0,0,5.390244
